"","IP","age_read","destination","experimentName","grade","idnumber","lang","sex","time","time_in_a_week","userCode","userFileName","year"
"167","109.252.201.237",3,"agreement.csv","lopuhinpredicttest",7,"","Русский","male",NA,"min60","GIL211",211,13
"168","213.87.225.157",4,"agreement.csv","lopuhinpredicttest",5,"25BVE","русский","male",NA,"min10","ZMR214",214,11
"169","46.48.204.55",6,"agreement.csv","lopuhinpredicttest",5,"25RES","Русский ","female",NA,"min60","HAF218",218,11
"170","91.228.178.74",5,"agreement.csv","lopuhinpredicttest",9,"ччч","русский","male",NA,"min10","HIQ219",219,16
"171","212.59.96.194",5,"agreement.csv","lopuhinpredicttest",6,"25BYY","русский","male",NA,"min60","HGZ221",221,12
"172","91.193.176.212",6,"agreement.csv","lopuhinpredicttest",8,"25ANS","Русский","male",NA,"min100500","AKY222",222,14
"173","185.180.57.177",5,"agreement.csv","lopuhinpredicttest",6,"25TMY","Русский","male",NA,"min10","RAU225",225,12
"174","128.74.253.61",4,"agreement.csv","lopuhinpredicttest",9,"","Русский ","female",NA,"min60","LHF226",226,15
"175","128.74.253.61",4,"agreement.csv","lopuhinpredicttest",9,"","Русский ","female",NA,"min60","QWI227",227,15
"176","188.123.230.132",5,"agreement.csv","lopuhinpredicttest",4,"25SMI","русский","male",NA,"min60","GQO228",228,9
"177","109.252.49.123",5,"agreement.csv","lopuhinpredicttest",5,"12345","русский","female",NA,"min60","AFK229",229,11
"178","109.252.126.40",5,"agreement.csv","lopuhinpredicttest",8,"25OOT","Русский","female",NA,"min100500","XMM230",230,14
"179","109.252.15.14",6,"agreement.csv","lopuhinpredicttest",8,"25ELA","русский","female",NA,"min30","WRB233",233,14
"180","109.252.2.64",1,"agreement.csv","lopuhinpredicttest",93,"","Чучмекский","male",NA,"min100500","CMM235",235,1e+13
"181","213.87.148.12",6,"agreement.csv","lopuhinpredicttest",8,"25ELA","Русский","female",NA,"min30","TSA236",236,14
"182","188.123.231.41",5,"agreement.csv","lopuhinpredicttest",7,"25VVN","Русский","male",NA,"min90","MVM241",241,13
"183","109.252.15.14",5,"agreement.csv","lopuhinpredicttest",8,"","Русский","female",NA,"min30","YZY242",242,14
"184","109.252.15.14",5,"agreement.csv","lopuhinpredicttest",8,"25EEA","Русский","female",NA,"min30","MYH243",243,14
"185","195.91.228.33",4,"agreement.csv","lopuhinpredicttest",6,"25IFG","русский","male",NA,"min100500","NNV244",244,11
"186","95.167.212.10",6,"agreement.csv","lopuhinpredicttest",9,"25ABV","русский","female",NA,"min90","MTR246",246,14
"187","37.113.78.16",5,"agreement.csv","lopuhinpredicttest",8,"25IKD","русский","female",NA,"min10","NXL248",248,13
"188","95.170.171.158",5,"agreement.csv","lopuhinpredicttest",6,"251120rks","Русский","female",NA,"min100500","UGE250",250,12
"189","95.170.171.158",5,"agreement.csv","lopuhinpredicttest",6,"251120rks","Русский","female",NA,"min100500","TWA251",251,12
"190","185.60.15.15",7,"agreement.csv","lopuhinpredicttest",5,"25DGD","русский","male",NA,"min100500","CQK252",252,11
"191","79.135.244.153",5,"agreement.csv","lopuhinpredicttest",6,"25AAA","русский","female",NA,"min60","HVL253",253,12
"192","213.87.163.153",7,"agreement.csv","lopuhinpredicttest",5,"25MKS","Русский","male",NA,"min10","IES254",254,12
"193","79.135.244.153",5,"agreement.csv","lopuhinpredicttest",6,"25AAA","русский","female",NA,"min60","HBI255",255,12
"194","95.84.239.162",5,"agreement.csv","lopuhinpredicttest",0,"500","русский","female",NA,"min60","VDA256",256,51
"195","109.252.15.14",6,"agreement.csv","lopuhinpredicttest",8,"","Русский","male",NA,"min30","ENI258",258,14
"196","95.27.156.196",5,"agreement.csv","lopuhinpredicttest",9,"141411","Русский ","male",NA,"min60","QZH262",262,15
"197","95.27.156.196",5,"agreement.csv","lopuhinpredicttest",9,"26DND ","Русский ","male",NA,"min60","FGS263",263,15
"198","195.191.146.52",4,"agreement.csv","lopuhinpredicttest",11,"","русский","female",NA,"min90","PCS264",264,4
"199","2.92.197.194",6,"agreement.csv","lopuhinpredicttest",5,"26LTA","Русский язык","female",NA,"min100500","VWQ265",265,11
"200","79.120.40.18",5,"agreement.csv","lopuhinpredicttest",5,"26DV","Русский","female",NA,"min30","BLL266",266,10
"201","2.92.197.194",5,"agreement.csv","lopuhinpredicttest",4,"26LSA","Русский язык","male",NA,"min30","LQY267",267,10
"202","212.119.233.61",6,"agreement.csv","lopuhinpredicttest",6,"","Русский","female",NA,"min10","ZOB268",268,12
"203","212.119.233.61",6,"agreement.csv","lopuhinpredicttest",6,"","Русский","female",NA,"min10","KVU269",269,12
"204","171.33.252.61",5,"agreement.csv","lopuhinpredicttest",6,"","русский","female",NA,"min100500","LJG270",270,12
"205","171.33.252.61",5,"agreement.csv","lopuhinpredicttest",6,"","русский","female",NA,"min100500","IQJ271",271,12
"206","80.77.163.166",5,"agreement.csv","lopuhinpredicttest",9,"26KUP","русский","female",NA,"min10","OBS272",272,15
"207","128.72.211.177",5,"agreement.csv","lopuhinpredicttest",6,"","Русский","male",NA,"min90","KJL274",274,12
"208","109.252.15.14",61,"agreement.csv","lopuhinpredicttest",8,"27ema","Русский","male",NA,"min30","XOC278",278,14
"209","46.39.56.39",4,"agreement.csv","lopuhinpredicttest",4,"Dannap","русский","female",NA,"min60","LOR278",278,20
"210","176.99.142.218",4,"agreement.csv","lopuhinpredicttest",0,"D9895","русский","female",NA,"min90","TUD279",279,25
"211","46.39.56.39",4,"agreement.csv","lopuhinpredicttest",4,"","русский","female",NA,"min60","EQN279",279,20
"212","37.147.250.168",5,"agreement.csv","lopuhinpredicttest",0,"D1476","русский","female",NA,"min30","KBT280",280,21
"213","82.193.155.229",3,"agreement.csv","lopuhinpredicttest",9,"27ASD","Русский","female",NA,"min30","HMI282",282,14
"214","109.252.202.223",3,"agreement.csv","lopuhinpredicttest",8,"27SEE","русский","female",NA,"min100500","LIZ285",285,14
"215","83.149.21.168",4,"agreement.csv","lopuhinpredicttest",10,"28SDA","Русский","male",NA,"min10","VRF287",287,16
"216","79.141.162.81",5,"agreement.csv","lopuhinpredicttest",15,"dfelltoearth","русский","female",NA,"min60","LLM288",288,20
"217","91.228.178.74",4,"agreement.csv","lopuhinpredicttest",16,"D8069","Русский","female",NA,"min100500","YJX289",289,22
"218","95.188.94.108",5,"agreement.csv","lopuhinpredicttest",9,"28KSA","Русский","male",NA,"min10","ULP291",291,15
"219","198.16.70.53",3,"agreement.csv","lopuhinpredicttest",15,"D1135","русский","female",NA,"min100500","ZBW293",293,21
"220","46.242.75.38",6,"agreement.csv","lopuhinpredicttest",5,"38RSZ","Русский ","female",NA,"min100500","NLL294",294,11
"221","89.175.213.122",4,"agreement.csv","lopuhinpredicttest",9,"30KMM","Русский","female",NA,"min100500","YGQ296",296,14
"222","46.188.123.156",4,"agreement.csv","lopuhinpredicttest",15,"D0110g","Русский","male",NA,"min60","XTW297",297,24
"223","176.193.248.50",4,"agreement.csv","lopuhinpredicttest",18,"WQ171","русский","female",NA,"min100500","NLC298",298,24
"224","95.27.144.134",3,"agreement.csv","lopuhinpredicttest",15,"D1632","русский","female",NA,"min100500","JMX299",299,22
"225","188.32.170.211",4,"agreement.csv","lopuhinpredicttest",15,"57312","русский","female",NA,"min100500","QQN300",300,20
"226","109.252.28.32",4,"agreement.csv","lopuhinpredicttest",15,"D5469","русский","female",NA,"min60","MFH301",301,20
"227","83.149.45.55",4,"agreement.csv","lopuhinpredicttest",15,"0908","Русский","female",NA,"min30","KIU302",302,21
"228","109.174.114.161",5,"agreement.csv","lopuhinpredicttest",0,"29089","русский","female",NA,"min10","DHN303",303,21
